United Kingdom,2000,717578.7929,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1999,716299.4103,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1998,746962.0221,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1997,749518.7969,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1996,774225.7843,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1995,752463.9182,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1994,758318.471,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1993,769256.7804,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1992,789105.2595,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1991,809506.7907,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,1990,800107.4886,greenhouse_gas_ghgs_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,2014,16422.55671,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2013,16177.98291,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2012,15794.76083,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2011,15235.31183,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2010,16716.06561,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2009,15796.4405,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2008,15066.73892,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2007,14562.76982,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2006,14103.9206,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2005,13180.69571,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent
